239.703000	144.343000	736.443000
232.686000	-11.176600	762.997000
165.108000	3.754440	826.677000
300.264000	-26.107600	699.318000
164.973000	-183.941000	826.658000
300.364000	-213.803000	699.291000
162.665000	-371.596000	823.486000
304.342000	-401.384000	694.058000
225.314000	-151.254000	788.018000
170.340000	-280.814000	857.894000
265.543000	-301.849000	768.184000
170.367000	-567.878000	857.710000
265.569000	-588.913000	768.000000
175.070000	-843.833000	853.743000
270.273000	-864.867000	764.032000
